"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2015-07-09 17:20:32 +02:00"

Year,"Country / territory of asylum/residence",Origin,"Population type",Value
2014,"United Arab Emirates",Ethiopia,Asylum-seekers,*
2014,"United Arab Emirates","Iran (Islamic Rep. of)",Asylum-seekers,*
2014,"United Arab Emirates",Iraq,Asylum-seekers,200
2014,"United Arab Emirates",Palestinian,Asylum-seekers,
2014,"United Arab Emirates",Sudan,Asylum-seekers,*
2014,"United Arab Emirates",Somalia,Asylum-seekers,*
2014,"United Arab Emirates","Syrian Arab Rep.",Asylum-seekers,12
2014,Argentina,Afghanistan,Asylum-seekers,*
2014,Argentina,Angola,Asylum-seekers,*
2014,Argentina,Albania,Asylum-seekers,
2014,Argentina,Armenia,Asylum-seekers,30
2014,Argentina,Burundi,Asylum-seekers,*
2014,Argentina,Benin,Asylum-seekers,
2014,Argentina,Bangladesh,Asylum-seekers,8
2014,Argentina,Bulgaria,Asylum-seekers,
2014,Argentina,"Bosnia and Herzegovina",Asylum-seekers,
2014,Argentina,Belarus,Asylum-seekers,
2014,Argentina,"Bolivia (Plurinational State of)",Asylum-seekers,
2014,Argentina,Brazil,Asylum-seekers,*
2014,Argentina,"Central African Rep.",Asylum-seekers,
2014,Argentina,Chile,Asylum-seekers,7
2014,Argentina,China,Asylum-seekers,*
2014,Argentina,"Côte d'Ivoire",Asylum-seekers,*
2014,Argentina,Cameroon,Asylum-seekers,5
2014,Argentina,"Dem. Rep. of the Congo",Asylum-seekers,5
2014,Argentina,Congo,Asylum-seekers,*
2014,Argentina,Colombia,Asylum-seekers,141
2014,Argentina,"Costa Rica",Asylum-seekers,
2014,Argentina,Cuba,Asylum-seekers,142
2014,Argentina,"Czech Rep.",Asylum-seekers,*
2014,Argentina,Germany,Asylum-seekers,*
2014,Argentina,"Dominican Rep.",Asylum-seekers,67
2014,Argentina,Algeria,Asylum-seekers,*
2014,Argentina,Ecuador,Asylum-seekers,
2014,Argentina,Egypt,Asylum-seekers,*
2014,Argentina,Eritrea,Asylum-seekers,
2014,Argentina,Spain,Asylum-seekers,*
2014,Argentina,Ethiopia,Asylum-seekers,
2014,Argentina,Georgia,Asylum-seekers,
2014,Argentina,Ghana,Asylum-seekers,42
2014,Argentina,Guinea,Asylum-seekers,8
2014,Argentina,Gambia,Asylum-seekers,*
2014,Argentina,Guinea-Bissau,Asylum-seekers,*
2014,Argentina,Guatemala,Asylum-seekers,*
2014,Argentina,Guyana,Asylum-seekers,*
2014,Argentina,Honduras,Asylum-seekers,*
2014,Argentina,Croatia,Asylum-seekers,
2014,Argentina,Haiti,Asylum-seekers,49
2014,Argentina,Hungary,Asylum-seekers,*
2014,Argentina,India,Asylum-seekers,53
2014,Argentina,"Iran (Islamic Rep. of)",Asylum-seekers,*
2014,Argentina,Iraq,Asylum-seekers,*
2014,Argentina,Italy,Asylum-seekers,
2014,Argentina,Japan,Asylum-seekers,*
2014,Argentina,Kazakhstan,Asylum-seekers,
2014,Argentina,Kenya,Asylum-seekers,
2014,Argentina,Kyrgyzstan,Asylum-seekers,
2014,Argentina,Liberia,Asylum-seekers,
2014,Argentina,Libya,Asylum-seekers,*
2014,Argentina,"Sri Lanka",Asylum-seekers,
2014,Argentina,Morocco,Asylum-seekers,*
2014,Argentina,Mexico,Asylum-seekers,*
2014,Argentina,"The former Yugoslav Republic of Macedonia",Asylum-seekers,
2014,Argentina,Mali,Asylum-seekers,*
2014,Argentina,Mauritania,Asylum-seekers,
2014,Argentina,Nigeria,Asylum-seekers,16
2014,Argentina,Nicaragua,Asylum-seekers,
2014,Argentina,Nepal,Asylum-seekers,*
2014,Argentina,Pakistan,Asylum-seekers,7
2014,Argentina,Peru,Asylum-seekers,27
2014,Argentina,Philippines,Asylum-seekers,*
2014,Argentina,Portugal,Asylum-seekers,*
2014,Argentina,Paraguay,Asylum-seekers,8
2014,Argentina,Palestinian,Asylum-seekers,*
2014,Argentina,Romania,Asylum-seekers,*
2014,Argentina,"Russian Federation",Asylum-seekers,29
2014,Argentina,Rwanda,Asylum-seekers,
2014,Argentina,Sudan,Asylum-seekers,*
2014,Argentina,Senegal,Asylum-seekers,56
2014,Argentina,Singapore,Asylum-seekers,*
2014,Argentina,"Sierra Leone",Asylum-seekers,*
2014,Argentina,"El Salvador",Asylum-seekers,*
2014,Argentina,Somalia,Asylum-seekers,*
2014,Argentina,"Serbia and Kosovo (S/RES/1244 (1999))",Asylum-seekers,*
2014,Argentina,Slovakia,Asylum-seekers,*
2014,Argentina,"Syrian Arab Rep.",Asylum-seekers,22
2014,Argentina,Chad,Asylum-seekers,
2014,Argentina,Togo,Asylum-seekers,*
2014,Argentina,Thailand,Asylum-seekers,*
2014,Argentina,Turkmenistan,Asylum-seekers,
2014,Argentina,Tunisia,Asylum-seekers,*
2014,Argentina,Turkey,Asylum-seekers,*
2014,Argentina,"United Rep. of Tanzania",Asylum-seekers,*
2014,Argentina,Ukraine,Asylum-seekers,89
2014,Argentina,"United States of America",Asylum-seekers,*
2014,Argentina,"Venezuela (Bolivarian Republic of)",Asylum-seekers,5
2014,Argentina,Stateless,Asylum-seekers,
2014,Argentina,Various/Unknown,Asylum-seekers,*
2014,Argentina,Yemen,Asylum-seekers,
2014,Argentina,"South Africa",Asylum-seekers,*
2014,Argentina,Zimbabwe,Asylum-seekers,
2014,Armenia,Armenia,Asylum-seekers,
2014,Armenia,Azerbaijan,Asylum-seekers,*
2014,Armenia,Benin,Asylum-seekers,*
2014,Armenia,"Côte d'Ivoire",Asylum-seekers,*
2014,Armenia,Cameroon,Asylum-seekers,*
2014,Armenia,Congo,Asylum-seekers,*
2014,Armenia,Ethiopia,Asylum-seekers,
2014,Armenia,Georgia,Asylum-seekers,*
2014,Armenia,Ghana,Asylum-seekers,*
2014,Armenia,Guinea,Asylum-seekers,*
2014,Armenia,"Iran (Islamic Rep. of)",Asylum-seekers,20
2014,Armenia,Iraq,Asylum-seekers,*
2014,Armenia,Kazakhstan,Asylum-seekers,
2014,Armenia,Lebanon,Asylum-seekers,*
2014,Armenia,Mali,Asylum-seekers,*
2014,Armenia,Palestinian,Asylum-seekers,*
2014,Armenia,"Russian Federation",Asylum-seekers,*
2014,Armenia,"Syrian Arab Rep.",Asylum-seekers,9
2014,Armenia,Turkey,Asylum-seekers,*
2014,Armenia,Ukraine,Asylum-seekers,27
2014,Armenia,"United States of America",Asylum-seekers,*
2014,"Antigua and Barbuda","Syrian Arab Rep.",Asylum-seekers,*
2014,Australia,Afghanistan,Asylum-seekers,1347
2014,Australia,Angola,Asylum-seekers,
2014,Australia,Albania,Asylum-seekers,46
2014,Australia,"United Arab Emirates",Asylum-seekers,*
2014,Australia,Argentina,Asylum-seekers,
2014,Australia,Armenia,Asylum-seekers,*
2014,Australia,Austria,Asylum-seekers,*
2014,Australia,Azerbaijan,Asylum-seekers,*
2014,Australia,Burundi,Asylum-seekers,26
2014,Australia,Belgium,Asylum-seekers,5
2014,Australia,Benin,Asylum-seekers,
2014,Australia,Bangladesh,Asylum-seekers,809
2014,Australia,Bulgaria,Asylum-seekers,
2014,Australia,Bahrain,Asylum-seekers,19
2014,Australia,"Bosnia and Herzegovina",Asylum-seekers,
2014,Australia,Belarus,Asylum-seekers,*
2014,Australia,Brazil,Asylum-seekers,21
2014,Australia,Bhutan,Asylum-seekers,8
2014,Australia,Botswana,Asylum-seekers,*
2014,Australia,"Central African Rep.",Asylum-seekers,*
2014,Australia,Canada,Asylum-seekers,*
2014,Australia,Chile,Asylum-seekers,*
2014,Australia,China,Asylum-seekers,2485
2014,Australia,"Côte d'Ivoire",Asylum-seekers,*
2014,Australia,Cameroon,Asylum-seekers,18
2014,Australia,"Dem. Rep. of the Congo",Asylum-seekers,34
2014,Australia,Congo,Asylum-seekers,5
2014,Australia,Colombia,Asylum-seekers,71
2014,Australia,"Costa Rica",Asylum-seekers,*
2014,Australia,Cuba,Asylum-seekers,*
2014,Australia,Cyprus,Asylum-seekers,*
2014,Australia,"Czech Rep.",Asylum-seekers,*
2014,Australia,Germany,Asylum-seekers,*
2014,Australia,Djibouti,Asylum-seekers,*
2014,Australia,Denmark,Asylum-seekers,
2014,Australia,Algeria,Asylum-seekers,7
2014,Australia,Ecuador,Asylum-seekers,*
2014,Australia,Egypt,Asylum-seekers,687
2014,Australia,Eritrea,Asylum-seekers,28
2014,Australia,"Western Sahara",Asylum-seekers,*
2014,Australia,Estonia,Asylum-seekers,*
2014,Australia,Ethiopia,Asylum-seekers,163
2014,Australia,Fiji,Asylum-seekers,657
2014,Australia,France,Asylum-seekers,*
2014,Australia,"United Kingdom",Asylum-seekers,9
2014,Australia,Georgia,Asylum-seekers,22
2014,Australia,Ghana,Asylum-seekers,55
2014,Australia,Guinea,Asylum-seekers,10
2014,Australia,Gambia,Asylum-seekers,8
2014,Australia,Greece,Asylum-seekers,*
2014,Australia,Guatemala,Asylum-seekers,*
2014,Australia,"China, Macao SAR",Asylum-seekers,23
2014,Australia,Croatia,Asylum-seekers,
2014,Australia,Hungary,Asylum-seekers,*
2014,Australia,Indonesia,Asylum-seekers,274
2014,Australia,India,Asylum-seekers,1351
2014,Australia,Ireland,Asylum-seekers,66
2014,Australia,"Iran (Islamic Rep. of)",Asylum-seekers,1428
2014,Australia,Iraq,Asylum-seekers,840
2014,Australia,Israel,Asylum-seekers,14
2014,Australia,Italy,Asylum-seekers,16
2014,Australia,Jamaica,Asylum-seekers,*
2014,Australia,Jordan,Asylum-seekers,107
2014,Australia,Japan,Asylum-seekers,10
2014,Australia,Kazakhstan,Asylum-seekers,*
2014,Australia,Kenya,Asylum-seekers,67
2014,Australia,Kyrgyzstan,Asylum-seekers,7
2014,Australia,Cambodia,Asylum-seekers,57
2014,Australia,Kiribati,Asylum-seekers,*
2014,Australia,"Rep. of Korea",Asylum-seekers,157
2014,Australia,Kuwait,Asylum-seekers,*
2014,Australia,"Lao People's Dem. Rep.",Asylum-seekers,5
2014,Australia,Lebanon,Asylum-seekers,539
2014,Australia,Liberia,Asylum-seekers,19
2014,Australia,Libya,Asylum-seekers,431
2014,Australia,"Sri Lanka",Asylum-seekers,3260
2014,Australia,Lithuania,Asylum-seekers,*
2014,Australia,Latvia,Asylum-seekers,9
2014,Australia,"Macao SAR, China",Asylum-seekers,*
2014,Australia,Morocco,Asylum-seekers,*
2014,Australia,"Rep. of Moldova",Asylum-seekers,*
2014,Australia,Maldives,Asylum-seekers,*
2014,Australia,Mexico,Asylum-seekers,5
2014,Australia,"The former Yugoslav Republic of Macedonia",Asylum-seekers,5
2014,Australia,Mali,Asylum-seekers,*
2014,Australia,Malta,Asylum-seekers,*
2014,Australia,Myanmar,Asylum-seekers,83
2014,Australia,Mongolia,Asylum-seekers,59
2014,Australia,Mozambique,Asylum-seekers,*
2014,Australia,Mauritania,Asylum-seekers,*
2014,Australia,Mauritius,Asylum-seekers,32
2014,Australia,Malawi,Asylum-seekers,5
2014,Australia,Malaysia,Asylum-seekers,741
2014,Australia,Namibia,Asylum-seekers,*
2014,Australia,Niger,Asylum-seekers,
2014,Australia,Nigeria,Asylum-seekers,161
2014,Australia,Nicaragua,Asylum-seekers,*
2014,Australia,Netherlands,Asylum-seekers,*
2014,Australia,Norway,Asylum-seekers,*
2014,Australia,Nepal,Asylum-seekers,493
2014,Australia,"New Zealand",Asylum-seekers,15
2014,Australia,Oman,Asylum-seekers,*
2014,Australia,Pakistan,Asylum-seekers,1989
2014,Australia,Peru,Asylum-seekers,32
2014,Australia,Philippines,Asylum-seekers,95
2014,Australia,"Papua New Guinea",Asylum-seekers,213
2014,Australia,Poland,Asylum-seekers,5
2014,Australia,"Dem. People's Rep. of Korea",Asylum-seekers,8
2014,Australia,Portugal,Asylum-seekers,*
2014,Australia,Palestinian,Asylum-seekers,87
2014,Australia,Romania,Asylum-seekers,9
2014,Australia,"Russian Federation",Asylum-seekers,51
2014,Australia,Rwanda,Asylum-seekers,50
2014,Australia,"Saudi Arabia",Asylum-seekers,49
2014,Australia,Sudan,Asylum-seekers,44
2014,Australia,Senegal,Asylum-seekers,*
2014,Australia,Singapore,Asylum-seekers,7
2014,Australia,"Solomon Islands",Asylum-seekers,16
2014,Australia,"Sierra Leone",Asylum-seekers,16
2014,Australia,"El Salvador",Asylum-seekers,5
2014,Australia,Somalia,Asylum-seekers,55
2014,Australia,"Serbia and Kosovo (S/RES/1244 (1999))",Asylum-seekers,6
2014,Australia,"South Sudan",Asylum-seekers,*
2014,Australia,Sweden,Asylum-seekers,*
2014,Australia,Seychelles,Asylum-seekers,*
2014,Australia,"Syrian Arab Rep.",Asylum-seekers,174
2014,Australia,Chad,Asylum-seekers,*
2014,Australia,Togo,Asylum-seekers,*
2014,Australia,Thailand,Asylum-seekers,38
2014,Australia,Tibetan,Asylum-seekers,*
2014,Australia,Tajikistan,Asylum-seekers,*
2014,Australia,Turkmenistan,Asylum-seekers,
2014,Australia,Timor-Leste,Asylum-seekers,7
2014,Australia,Tonga,Asylum-seekers,82
2014,Australia,Tunisia,Asylum-seekers,7
2014,Australia,Turkey,Asylum-seekers,226
2014,Australia,Tuvalu,Asylum-seekers,*
2014,Australia,"United Rep. of Tanzania",Asylum-seekers,16
2014,Australia,Uganda,Asylum-seekers,31
2014,Australia,Ukraine,Asylum-seekers,59
2014,Australia,Uruguay,Asylum-seekers,*
2014,Australia,"United States of America",Asylum-seekers,19
2014,Australia,Uzbekistan,Asylum-seekers,*
2014,Australia,"Venezuela (Bolivarian Republic of)",Asylum-seekers,11
2014,Australia,"Viet Nam",Asylum-seekers,338
2014,Australia,Vanuatu,Asylum-seekers,
2014,Australia,Samoa,Asylum-seekers,7
2014,Australia,Stateless,Asylum-seekers,544
2014,Australia,Various/Unknown,Asylum-seekers,94
2014,Australia,Yemen,Asylum-seekers,18
2014,Australia,"South Africa",Asylum-seekers,33
2014,Australia,Zambia,Asylum-seekers,21
2014,Australia,Zimbabwe,Asylum-seekers,163
2014,Austria,Afghanistan,Asylum-seekers,*
2014,Austria,Angola,Asylum-seekers,*
2014,Austria,Albania,Asylum-seekers,*
2014,Austria,Armenia,Asylum-seekers,*
2014,Austria,Austria,Asylum-seekers,
2014,Austria,Azerbaijan,Asylum-seekers,*
2014,Austria,Burundi,Asylum-seekers,*
2014,Austria,Benin,Asylum-seekers,*
2014,Austria,"Burkina Faso",Asylum-seekers,*
2014,Austria,Bangladesh,Asylum-seekers,*
2014,Austria,Bulgaria,Asylum-seekers,*
2014,Austria,"Bosnia and Herzegovina",Asylum-seekers,*
2014,Austria,Belarus,Asylum-seekers,*
2014,Austria,"Bolivia (Plurinational State of)",Asylum-seekers,*
2014,Austria,Brazil,Asylum-seekers,
2014,Austria,Bhutan,Asylum-seekers,
2014,Austria,Botswana,Asylum-seekers,*
2014,Austria,Canada,Asylum-seekers,
2014,Austria,Chile,Asylum-seekers,*
2014,Austria,China,Asylum-seekers,*
2014,Austria,"Côte d'Ivoire",Asylum-seekers,*
2014,Austria,Cameroon,Asylum-seekers,*
2014,Austria,"Dem. Rep. of the Congo",Asylum-seekers,*
2014,Austria,Congo,Asylum-seekers,*
2014,Austria,Colombia,Asylum-seekers,
2014,Austria,Comoros,Asylum-seekers,*
2014,Austria,Cuba,Asylum-seekers,*
2014,Austria,"Czech Rep.",Asylum-seekers,*
2014,Austria,Germany,Asylum-seekers,*
2014,Austria,"Dominican Rep.",Asylum-seekers,*
2014,Austria,Algeria,Asylum-seekers,*
2014,Austria,Egypt,Asylum-seekers,*
2014,Austria,Eritrea,Asylum-seekers,*
2014,Austria,"Western Sahara",Asylum-seekers,*
2014,Austria,Estonia,Asylum-seekers,
2014,Austria,Ethiopia,Asylum-seekers,*
2014,Austria,Gabon,Asylum-seekers,*
2014,Austria,"United Kingdom",Asylum-seekers,*
2014,Austria,Georgia,Asylum-seekers,*
2014,Austria,Ghana,Asylum-seekers,*
2014,Austria,Guinea,Asylum-seekers,*
2014,Austria,Gambia,Asylum-seekers,*
2014,Austria,Guinea-Bissau,Asylum-seekers,*
2014,Austria,"Equatorial Guinea",Asylum-seekers,*
2014,Austria,Guatemala,Asylum-seekers,*
2014,Austria,Croatia,Asylum-seekers,
2014,Austria,Haiti,Asylum-seekers,*
2014,Austria,Hungary,Asylum-seekers,*
2014,Austria,India,Asylum-seekers,*
2014,Austria,"Iran (Islamic Rep. of)",Asylum-seekers,*
2014,Austria,Iraq,Asylum-seekers,*
2014,Austria,Israel,Asylum-seekers,*
2014,Austria,Jamaica,Asylum-seekers,*
2014,Austria,Jordan,Asylum-seekers,*
2014,Austria,Kazakhstan,Asylum-seekers,*
2014,Austria,Kenya,Asylum-seekers,*
2014,Austria,Kyrgyzstan,Asylum-seekers,*
2014,Austria,Cambodia,Asylum-seekers,
2014,Austria,"Rep. of Korea",Asylum-seekers,*
2014,Austria,Kuwait,Asylum-seekers,*
2014,Austria,"Lao People's Dem. Rep.",Asylum-seekers,
2014,Austria,Lebanon,Asylum-seekers,*
2014,Austria,Liberia,Asylum-seekers,*
2014,Austria,Libya,Asylum-seekers,*
2014,Austria,"Sri Lanka",Asylum-seekers,*
2014,Austria,Latvia,Asylum-seekers,
2014,Austria,Morocco,Asylum-seekers,*
2014,Austria,"Rep. of Moldova",Asylum-seekers,*
2014,Austria,Madagascar,Asylum-seekers,
2014,Austria,Mexico,Asylum-seekers,
2014,Austria,"The former Yugoslav Republic of Macedonia",Asylum-seekers,*
2014,Austria,Mali,Asylum-seekers,*
2014,Austria,Myanmar,Asylum-seekers,*
2014,Austria,Montenegro,Asylum-seekers,*
2014,Austria,Mongolia,Asylum-seekers,*
2014,Austria,Mauritania,Asylum-seekers,*
2014,Austria,Mauritius,Asylum-seekers,*
2014,Austria,Niger,Asylum-seekers,*
2014,Austria,Nigeria,Asylum-seekers,*
2014,Austria,Netherlands,Asylum-seekers,*
2014,Austria,Nepal,Asylum-seekers,*
2014,Austria,Pakistan,Asylum-seekers,*
2014,Austria,Peru,Asylum-seekers,
2014,Austria,Philippines,Asylum-seekers,
2014,Austria,Poland,Asylum-seekers,*
2014,Austria,Romania,Asylum-seekers,*
2014,Austria,"Russian Federation",Asylum-seekers,*
2014,Austria,Rwanda,Asylum-seekers,*
2014,Austria,Sudan,Asylum-seekers,*
2014,Austria,Senegal,Asylum-seekers,*
2014,Austria,"Sierra Leone",Asylum-seekers,*
2014,Austria,Somalia,Asylum-seekers,*
2014,Austria,"Serbia and Kosovo (S/RES/1244 (1999))",Asylum-seekers,*
2014,Austria,"South Sudan",Asylum-seekers,*
2014,Austria,Slovakia,Asylum-seekers,
2014,Austria,"Syrian Arab Rep.",Asylum-seekers,*
2014,Austria,Chad,Asylum-seekers,*
2014,Austria,Togo,Asylum-seekers,*
2014,Austria,Thailand,Asylum-seekers,*
2014,Austria,Tajikistan,Asylum-seekers,*
2014,Austria,Turkmenistan,Asylum-seekers,
2014,Austria,Tunisia,Asylum-seekers,*
2014,Austria,Turkey,Asylum-seekers,*
2014,Austria,"United Rep. of Tanzania",Asylum-seekers,
2014,Austria,Uganda,Asylum-seekers,*
2014,Austria,Ukraine,Asylum-seekers,*
2014,Austria,"United States of America",Asylum-seekers,*
2014,Austria,Uzbekistan,Asylum-seekers,*
2014,Austria,"Viet Nam",Asylum-seekers,*
2014,Austria,Stateless,Asylum-seekers,*
2014,Austria,Various/Unknown,Asylum-seekers,22745
2014,Austria,Yemen,Asylum-seekers,*
2014,Austria,"South Africa",Asylum-seekers,*
2014,Austria,Zambia,Asylum-seekers,*
2014,Austria,Zimbabwe,Asylum-seekers,*
2014,Azerbaijan,Afghanistan,Asylum-seekers,160
2014,Azerbaijan,Armenia,Asylum-seekers,*
2014,Azerbaijan,Azerbaijan,Asylum-seekers,
2014,Azerbaijan,Bangladesh,Asylum-seekers,*
2014,Azerbaijan,"Côte d'Ivoire",Asylum-seekers,*
2014,Azerbaijan,Cameroon,Asylum-seekers,
2014,Azerbaijan,Georgia,Asylum-seekers,*
2014,Azerbaijan,India,Asylum-seekers,*
2014,Azerbaijan,"Iran (Islamic Rep. of)",Asylum-seekers,16
2014,Azerbaijan,Iraq,Asylum-seekers,11
2014,Azerbaijan,"Rep. of Moldova",Asylum-seekers,*
2014,Azerbaijan,Nepal,Asylum-seekers,6
2014,Azerbaijan,Pakistan,Asylum-seekers,141
2014,Azerbaijan,Palestinian,Asylum-seekers,
2014,Azerbaijan,"Russian Federation",Asylum-seekers,31
2014,Azerbaijan,Sudan,Asylum-seekers,*
2014,Azerbaijan,"South Sudan",Asylum-seekers,*
2014,Azerbaijan,"Syrian Arab Rep.",Asylum-seekers,7
2014,Azerbaijan,Turkey,Asylum-seekers,*
2014,Azerbaijan,Ukraine,Asylum-seekers,12
2014,Azerbaijan,Uzbekistan,Asylum-seekers,*
2014,Azerbaijan,Yemen,Asylum-seekers,*
2014,Burundi,Angola,Asylum-seekers,9
2014,Burundi,Burundi,Asylum-seekers,
2014,Burundi,"Central African Rep.",Asylum-seekers,5
2014,Burundi,"Dem. Rep. of the Congo",Asylum-seekers,2613
2014,Burundi,Comoros,Asylum-seekers,*
2014,Burundi,Ethiopia,Asylum-seekers,*
2014,Burundi,Guinea,Asylum-seekers,*
2014,Burundi,India,Asylum-seekers,*
2014,Burundi,Mali,Asylum-seekers,9
2014,Burundi,Mozambique,Asylum-seekers,
2014,Burundi,Pakistan,Asylum-seekers,*
2014,Burundi,Rwanda,Asylum-seekers,399
2014,Burundi,Senegal,Asylum-seekers,*
2014,Burundi,Somalia,Asylum-seekers,6
2014,Burundi,"South Sudan",Asylum-seekers,*
2014,Burundi,"United Rep. of Tanzania",Asylum-seekers,*
2014,Burundi,Zambia,Asylum-seekers,
2014,Belgium,Afghanistan,Asylum-seekers,765
2014,Belgium,Angola,Asylum-seekers,44
2014,Belgium,Albania,Asylum-seekers,305
2014,Belgium,"United Arab Emirates",Asylum-seekers,*
2014,Belgium,Argentina,Asylum-seekers,
2014,Belgium,Armenia,Asylum-seekers,151
2014,Belgium,Austria,Asylum-seekers,
2014,Belgium,Azerbaijan,Asylum-seekers,47
2014,Belgium,Burundi,Asylum-seekers,116
2014,Belgium,Belgium,Asylum-seekers,
2014,Belgium,Benin,Asylum-seekers,51
2014,Belgium,"Burkina Faso",Asylum-seekers,45
2014,Belgium,Bangladesh,Asylum-seekers,50
2014,Belgium,Bulgaria,Asylum-seekers,6
2014,Belgium,"Bosnia and Herzegovina",Asylum-seekers,9
2014,Belgium,Belarus,Asylum-seekers,20
2014,Belgium,"Bolivia (Plurinational State of)",Asylum-seekers,
2014,Belgium,Brazil,Asylum-seekers,*
2014,Belgium,Bhutan,Asylum-seekers,*
2014,Belgium,"Central African Rep.",Asylum-seekers,16
2014,Belgium,Canada,Asylum-seekers,*
2014,Belgium,Switzerland,Asylum-seekers,
2014,Belgium,Chile,Asylum-seekers,*
2014,Belgium,China,Asylum-seekers,227
2014,Belgium,"Côte d'Ivoire",Asylum-seekers,89
2014,Belgium,Cameroon,Asylum-seekers,180
2014,Belgium,"Dem. Rep. of the Congo",Asylum-seekers,378
2014,Belgium,Congo,Asylum-seekers,9
2014,Belgium,Colombia,Asylum-seekers,6
2014,Belgium,Comoros,Asylum-seekers,*
2014,Belgium,"Costa Rica",Asylum-seekers,*
2014,Belgium,Cuba,Asylum-seekers,*
2014,Belgium,Cyprus,Asylum-seekers,*
2014,Belgium,"Czech Rep.",Asylum-seekers,*
2014,Belgium,Germany,Asylum-seekers,
2014,Belgium,Djibouti,Asylum-seekers,125
2014,Belgium,Denmark,Asylum-seekers,
2014,Belgium,"Dominican Rep.",Asylum-seekers,*
2014,Belgium,Algeria,Asylum-seekers,66
2014,Belgium,Ecuador,Asylum-seekers,*
2014,Belgium,Egypt,Asylum-seekers,108
2014,Belgium,Eritrea,Asylum-seekers,273
