Country / territory of asylum/residence,Origin,Population type,Value
United Arab Emirates,Ethiopia,Refugees (incl. refugee-like situations),6
United Arab Emirates,Iran (Islamic Rep. of),Asylum-seekers,*
United Arab Emirates,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),*
United Arab Emirates,Iraq,Asylum-seekers,200
United Arab Emirates,Iraq,Refugees (incl. refugee-like situations),348
United Arab Emirates,Palestinian,Asylum-seekers,
United Arab Emirates,Palestinian,Refugees (incl. refugee-like situations),*
United Arab Emirates,Sudan,Asylum-seekers,*
United Arab Emirates,Sudan,Refugees (incl. refugee-like situations),6
United Arab Emirates,Somalia,Asylum-seekers,*
United Arab Emirates,Somalia,Refugees (incl. refugee-like situations),21
United Arab Emirates,Syrian Arab Rep.,Asylum-seekers,12
United Arab Emirates,Syrian Arab Rep.,Refugees (incl. refugee-like situations),28
Argentina,Afghanistan,Asylum-seekers,*
Argentina,Afghanistan,Refugees (incl. refugee-like situations),5
Argentina,Angola,Asylum-seekers,*
Argentina,Angola,Refugees (incl. refugee-like situations),13
Argentina,Albania,Asylum-seekers,
Argentina,Albania,Refugees (incl. refugee-like situations),25
Argentina,Armenia,Asylum-seekers,30
Argentina,Armenia,Refugees (incl. refugee-like situations),122
Argentina,Burundi,Asylum-seekers,*
Argentina,Burundi,Refugees (incl. refugee-like situations),5
Argentina,Benin,Asylum-seekers,
Argentina,Benin,Refugees (incl. refugee-like situations),*
Argentina,Bangladesh,Asylum-seekers,8
Argentina,Bangladesh,Refugees (incl. refugee-like situations),
Argentina,Bulgaria,Asylum-seekers,
Argentina,Bulgaria,Refugees (incl. refugee-like situations),*
Argentina,Bosnia and Herzegovina,Asylum-seekers,
Argentina,Bosnia and Herzegovina,Refugees (incl. refugee-like situations),6
Argentina,Belarus,Asylum-seekers,
Argentina,Belarus,Refugees (incl. refugee-like situations),*
Argentina,Bolivia (Plurinational State of),Asylum-seekers,
Argentina,Bolivia (Plurinational State of),Refugees (incl. refugee-like situations),*
Argentina,Brazil,Asylum-seekers,*
Argentina,Brazil,Refugees (incl. refugee-like situations),*
Argentina,Central African Rep.,Asylum-seekers,
Argentina,Central African Rep.,Refugees (incl. refugee-like situations),*
Argentina,Chile,Asylum-seekers,7
Argentina,Chile,Refugees (incl. refugee-like situations),36
Argentina,China,Asylum-seekers,*
Argentina,China,Refugees (incl. refugee-like situations),*
Argentina,Côte d'Ivoire,Asylum-seekers,*
Argentina,Côte d'Ivoire,Refugees (incl. refugee-like situations),36
Argentina,Cameroon,Asylum-seekers,5
Argentina,Cameroon,Refugees (incl. refugee-like situations),11
Argentina,Dem. Rep. of the Congo,Asylum-seekers,5
Argentina,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),25
Argentina,Congo,Asylum-seekers,*
Argentina,Congo,Refugees (incl. refugee-like situations),9
Argentina,Colombia,Asylum-seekers,141
Argentina,Colombia,Refugees (incl. refugee-like situations),551
Argentina,Costa Rica,Asylum-seekers,
Argentina,Costa Rica,Refugees (incl. refugee-like situations),5
Argentina,Cuba,Asylum-seekers,142
Argentina,Cuba,Refugees (incl. refugee-like situations),342
Argentina,Czech Rep.,Asylum-seekers,*
Argentina,Czech Rep.,Refugees (incl. refugee-like situations),
Argentina,Germany,Asylum-seekers,*
Argentina,Germany,Refugees (incl. refugee-like situations),
Argentina,Dominican Rep.,Asylum-seekers,67
Argentina,Dominican Rep.,Refugees (incl. refugee-like situations),*
Argentina,Algeria,Asylum-seekers,*
Argentina,Algeria,Refugees (incl. refugee-like situations),41
Argentina,Ecuador,Asylum-seekers,
Argentina,Ecuador,Refugees (incl. refugee-like situations),16
Argentina,Egypt,Asylum-seekers,*
Argentina,Egypt,Refugees (incl. refugee-like situations),5
Argentina,Eritrea,Asylum-seekers,
Argentina,Eritrea,Refugees (incl. refugee-like situations),*
Argentina,Spain,Asylum-seekers,*
Argentina,Spain,Refugees (incl. refugee-like situations),
Argentina,Ethiopia,Asylum-seekers,
Argentina,Ethiopia,Refugees (incl. refugee-like situations),*
Argentina,Georgia,Asylum-seekers,
Argentina,Georgia,Refugees (incl. refugee-like situations),5
Argentina,Ghana,Asylum-seekers,42
Argentina,Ghana,Refugees (incl. refugee-like situations),64
Argentina,Guinea,Asylum-seekers,8
Argentina,Guinea,Refugees (incl. refugee-like situations),11
Argentina,Gambia,Asylum-seekers,*
Argentina,Gambia,Refugees (incl. refugee-like situations),*
Argentina,Guinea-Bissau,Asylum-seekers,*
Argentina,Guinea-Bissau,Refugees (incl. refugee-like situations),18
Argentina,Guatemala,Asylum-seekers,*
Argentina,Guatemala,Refugees (incl. refugee-like situations),*
Argentina,Guyana,Asylum-seekers,*
Argentina,Guyana,Refugees (incl. refugee-like situations),
Argentina,Honduras,Asylum-seekers,*
Argentina,Honduras,Refugees (incl. refugee-like situations),*
Argentina,Croatia,Asylum-seekers,
Argentina,Croatia,Refugees (incl. refugee-like situations),*
Argentina,Haiti,Asylum-seekers,49
Argentina,Haiti,Refugees (incl. refugee-like situations),66
Argentina,Hungary,Asylum-seekers,*
Argentina,Hungary,Refugees (incl. refugee-like situations),
Argentina,India,Asylum-seekers,53
Argentina,India,Refugees (incl. refugee-like situations),30
Argentina,Iran (Islamic Rep. of),Asylum-seekers,*
Argentina,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),19
Argentina,Iraq,Asylum-seekers,*
Argentina,Iraq,Refugees (incl. refugee-like situations),26
Argentina,Italy,Asylum-seekers,
Argentina,Italy,Refugees (incl. refugee-like situations),*
Argentina,Japan,Asylum-seekers,*
Argentina,Japan,Refugees (incl. refugee-like situations),
Argentina,Kazakhstan,Asylum-seekers,
Argentina,Kazakhstan,Refugees (incl. refugee-like situations),22
Argentina,Kenya,Asylum-seekers,
Argentina,Kenya,Refugees (incl. refugee-like situations),*
Argentina,Kyrgyzstan,Asylum-seekers,
Argentina,Kyrgyzstan,Refugees (incl. refugee-like situations),*
Argentina,Liberia,Asylum-seekers,
Argentina,Liberia,Refugees (incl. refugee-like situations),67
Argentina,Libya,Asylum-seekers,*
Argentina,Libya,Refugees (incl. refugee-like situations),
Argentina,Sri Lanka,Asylum-seekers,
Argentina,Sri Lanka,Refugees (incl. refugee-like situations),34
Argentina,Morocco,Asylum-seekers,*
Argentina,Morocco,Refugees (incl. refugee-like situations),*
Argentina,Mexico,Asylum-seekers,*
Argentina,Mexico,Refugees (incl. refugee-like situations),*
Argentina,The former Yugoslav Republic of Macedonia,Asylum-seekers,
Argentina,The former Yugoslav Republic of Macedonia,Refugees (incl. refugee-like situations),17
Argentina,Mali,Asylum-seekers,*
Argentina,Mali,Refugees (incl. refugee-like situations),19
Argentina,Mauritania,Asylum-seekers,
Argentina,Mauritania,Refugees (incl. refugee-like situations),*
Argentina,Nigeria,Asylum-seekers,16
Argentina,Nigeria,Refugees (incl. refugee-like situations),55
Argentina,Nicaragua,Asylum-seekers,
Argentina,Nicaragua,Refugees (incl. refugee-like situations),*
Argentina,Nepal,Asylum-seekers,*
Argentina,Nepal,Refugees (incl. refugee-like situations),
Argentina,Pakistan,Asylum-seekers,7
Argentina,Pakistan,Refugees (incl. refugee-like situations),50
Argentina,Peru,Asylum-seekers,27
Argentina,Peru,Refugees (incl. refugee-like situations),582
Argentina,Philippines,Asylum-seekers,*
Argentina,Philippines,Refugees (incl. refugee-like situations),
Argentina,Portugal,Asylum-seekers,*
Argentina,Portugal,Refugees (incl. refugee-like situations),
Argentina,Paraguay,Asylum-seekers,8
Argentina,Paraguay,Refugees (incl. refugee-like situations),8
Argentina,Palestinian,Asylum-seekers,*
Argentina,Palestinian,Refugees (incl. refugee-like situations),*
Argentina,Romania,Asylum-seekers,*
Argentina,Romania,Refugees (incl. refugee-like situations),54
Argentina,Russian Federation,Asylum-seekers,29
Argentina,Russian Federation,Refugees (incl. refugee-like situations),62
Argentina,Rwanda,Asylum-seekers,
Argentina,Rwanda,Refugees (incl. refugee-like situations),*
Argentina,Sudan,Asylum-seekers,*
Argentina,Sudan,Refugees (incl. refugee-like situations),*
Argentina,Senegal,Asylum-seekers,56
Argentina,Senegal,Refugees (incl. refugee-like situations),65
Argentina,Singapore,Asylum-seekers,*
Argentina,Singapore,Refugees (incl. refugee-like situations),
Argentina,Sierra Leone,Asylum-seekers,*
Argentina,Sierra Leone,Refugees (incl. refugee-like situations),41
Argentina,El Salvador,Asylum-seekers,*
Argentina,El Salvador,Refugees (incl. refugee-like situations),13
Argentina,Somalia,Asylum-seekers,*
Argentina,Somalia,Refugees (incl. refugee-like situations),5
Argentina,Serbia and Kosovo (S/RES/1244 (1999)),Asylum-seekers,*
Argentina,Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),
Argentina,Slovakia,Asylum-seekers,*
Argentina,Slovakia,Refugees (incl. refugee-like situations),
Argentina,Syrian Arab Rep.,Asylum-seekers,22
Argentina,Syrian Arab Rep.,Refugees (incl. refugee-like situations),233
Argentina,Chad,Asylum-seekers,
Argentina,Chad,Refugees (incl. refugee-like situations),*
Argentina,Togo,Asylum-seekers,*
Argentina,Togo,Refugees (incl. refugee-like situations),*
Argentina,Thailand,Asylum-seekers,*
Argentina,Thailand,Refugees (incl. refugee-like situations),
Argentina,Turkmenistan,Asylum-seekers,
Argentina,Turkmenistan,Refugees (incl. refugee-like situations),*
Argentina,Tunisia,Asylum-seekers,*
Argentina,Tunisia,Refugees (incl. refugee-like situations),*
Argentina,Turkey,Asylum-seekers,*
Argentina,Turkey,Refugees (incl. refugee-like situations),15
Argentina,United Rep. of Tanzania,Asylum-seekers,*
Argentina,United Rep. of Tanzania,Refugees (incl. refugee-like situations),
Argentina,Ukraine,Asylum-seekers,89
Argentina,Ukraine,Refugees (incl. refugee-like situations),24
Argentina,United States of America,Asylum-seekers,*
Argentina,United States of America,Refugees (incl. refugee-like situations),*
Argentina,Venezuela (Bolivarian Republic of),Asylum-seekers,5
Argentina,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),*
Argentina,Stateless,Asylum-seekers,
Argentina,Stateless,Refugees (incl. refugee-like situations),10
Argentina,Various/Unknown,Asylum-seekers,*
Argentina,Various/Unknown,Refugees (incl. refugee-like situations),550
Argentina,Yemen,Asylum-seekers,
Argentina,Yemen,Refugees (incl. refugee-like situations),15
Argentina,South Africa,Asylum-seekers,*
Argentina,South Africa,Refugees (incl. refugee-like situations),*
Argentina,Zimbabwe,Asylum-seekers,
Argentina,Zimbabwe,Refugees (incl. refugee-like situations),*
Armenia,Armenia,Asylum-seekers,
Armenia,Armenia,Refugees (incl. refugee-like situations),
Armenia,Azerbaijan,Asylum-seekers,*
Armenia,Azerbaijan,Refugees (incl. refugee-like situations),1554
Armenia,Benin,Asylum-seekers,*
Armenia,Benin,Refugees (incl. refugee-like situations),
Armenia,Côte d'Ivoire,Asylum-seekers,*
Armenia,Côte d'Ivoire,Refugees (incl. refugee-like situations),6
Armenia,Cameroon,Asylum-seekers,*
Armenia,Cameroon,Refugees (incl. refugee-like situations),
Armenia,Congo,Asylum-seekers,*
Armenia,Congo,Refugees (incl. refugee-like situations),
Armenia,Ethiopia,Asylum-seekers,
Armenia,Ethiopia,Refugees (incl. refugee-like situations),*
Armenia,Georgia,Asylum-seekers,*
Armenia,Georgia,Refugees (incl. refugee-like situations),8
Armenia,Ghana,Asylum-seekers,*
Armenia,Ghana,Refugees (incl. refugee-like situations),
Armenia,Guinea,Asylum-seekers,*
Armenia,Guinea,Refugees (incl. refugee-like situations),
Armenia,Iran (Islamic Rep. of),Asylum-seekers,20
Armenia,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),27
Armenia,Iraq,Asylum-seekers,*
Armenia,Iraq,Refugees (incl. refugee-like situations),979
Armenia,Kazakhstan,Asylum-seekers,
Armenia,Kazakhstan,Refugees (incl. refugee-like situations),*
Armenia,Lebanon,Asylum-seekers,*
Armenia,Lebanon,Refugees (incl. refugee-like situations),18
Armenia,Mali,Asylum-seekers,*
Armenia,Mali,Refugees (incl. refugee-like situations),
Armenia,Palestinian,Asylum-seekers,*
Armenia,Palestinian,Refugees (incl. refugee-like situations),6
Armenia,Russian Federation,Asylum-seekers,*
Armenia,Russian Federation,Refugees (incl. refugee-like situations),*
Armenia,Syrian Arab Rep.,Asylum-seekers,9
Armenia,Syrian Arab Rep.,Refugees (incl. refugee-like situations),14994
Armenia,Turkey,Asylum-seekers,*
Armenia,Turkey,Refugees (incl. refugee-like situations),*
Armenia,Ukraine,Asylum-seekers,27
Armenia,Ukraine,Refugees (incl. refugee-like situations),43
Armenia,United States of America,Asylum-seekers,*
Armenia,United States of America,Refugees (incl. refugee-like situations),
Antigua and Barbuda,Syrian Arab Rep.,Asylum-seekers,*
Antigua and Barbuda,Syrian Arab Rep.,Refugees (incl. refugee-like situations),
Australia,Afghanistan,Asylum-seekers,1347
Australia,Afghanistan,Refugees (incl. refugee-like situations),7675
Australia,Angola,Asylum-seekers,
Australia,Angola,Refugees (incl. refugee-like situations),*
Australia,Albania,Asylum-seekers,46
Australia,Albania,Refugees (incl. refugee-like situations),65
Australia,United Arab Emirates,Asylum-seekers,*
Australia,United Arab Emirates,Refugees (incl. refugee-like situations),5
Australia,Argentina,Asylum-seekers,
Australia,Argentina,Refugees (incl. refugee-like situations),*
Australia,Armenia,Asylum-seekers,*
Australia,Armenia,Refugees (incl. refugee-like situations),*
Australia,Austria,Asylum-seekers,*
Australia,Austria,Refugees (incl. refugee-like situations),
Australia,Azerbaijan,Asylum-seekers,*
Australia,Azerbaijan,Refugees (incl. refugee-like situations),*
Australia,Burundi,Asylum-seekers,26
Australia,Burundi,Refugees (incl. refugee-like situations),27
Australia,Belgium,Asylum-seekers,5
Australia,Belgium,Refugees (incl. refugee-like situations),
Australia,Benin,Asylum-seekers,
Australia,Benin,Refugees (incl. refugee-like situations),*
Australia,Bangladesh,Asylum-seekers,809
Australia,Bangladesh,Refugees (incl. refugee-like situations),351
Australia,Bulgaria,Asylum-seekers,
Australia,Bulgaria,Refugees (incl. refugee-like situations),*
Australia,Bahrain,Asylum-seekers,19
Australia,Bahrain,Refugees (incl. refugee-like situations),91
Australia,Bosnia and Herzegovina,Asylum-seekers,
Australia,Bosnia and Herzegovina,Refugees (incl. refugee-like situations),*
Australia,Belarus,Asylum-seekers,*
Australia,Belarus,Refugees (incl. refugee-like situations),*
Australia,Brazil,Asylum-seekers,21
Australia,Brazil,Refugees (incl. refugee-like situations),*
Australia,Bhutan,Asylum-seekers,8
Australia,Bhutan,Refugees (incl. refugee-like situations),*
Australia,Botswana,Asylum-seekers,*
Australia,Botswana,Refugees (incl. refugee-like situations),*
Australia,Central African Rep.,Asylum-seekers,*
Australia,Central African Rep.,Refugees (incl. refugee-like situations),*
Australia,Canada,Asylum-seekers,*
Australia,Canada,Refugees (incl. refugee-like situations),
Australia,Chile,Asylum-seekers,*
Australia,Chile,Refugees (incl. refugee-like situations),*
Australia,China,Asylum-seekers,2485
Australia,China,Refugees (incl. refugee-like situations),2883
Australia,Côte d'Ivoire,Asylum-seekers,*
Australia,Côte d'Ivoire,Refugees (incl. refugee-like situations),7
Australia,Cameroon,Asylum-seekers,18
Australia,Cameroon,Refugees (incl. refugee-like situations),52
Australia,Dem. Rep. of the Congo,Asylum-seekers,34
Australia,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),30
Australia,Congo,Asylum-seekers,5
Australia,Congo,Refugees (incl. refugee-like situations),16
Australia,Colombia,Asylum-seekers,71
Australia,Colombia,Refugees (incl. refugee-like situations),135
Australia,Costa Rica,Asylum-seekers,*
Australia,Costa Rica,Refugees (incl. refugee-like situations),
Australia,Cuba,Asylum-seekers,*
Australia,Cuba,Refugees (incl. refugee-like situations),*
Australia,Cyprus,Asylum-seekers,*
Australia,Cyprus,Refugees (incl. refugee-like situations),
Australia,Czech Rep.,Asylum-seekers,*
Australia,Czech Rep.,Refugees (incl. refugee-like situations),*
Australia,Germany,Asylum-seekers,*
Australia,Germany,Refugees (incl. refugee-like situations),5
Australia,Djibouti,Asylum-seekers,*
Australia,Djibouti,Refugees (incl. refugee-like situations),*
Australia,Denmark,Asylum-seekers,
Australia,Denmark,Refugees (incl. refugee-like situations),*
Australia,Algeria,Asylum-seekers,7
Australia,Algeria,Refugees (incl. refugee-like situations),13
Australia,Ecuador,Asylum-seekers,*
Australia,Ecuador,Refugees (incl. refugee-like situations),*
Australia,Egypt,Asylum-seekers,687
Australia,Egypt,Refugees (incl. refugee-like situations),1370
Australia,Eritrea,Asylum-seekers,28
Australia,Eritrea,Refugees (incl. refugee-like situations),109
Australia,Western Sahara,Asylum-seekers,*
Australia,Western Sahara,Refugees (incl. refugee-like situations),
Australia,Estonia,Asylum-seekers,*
Australia,Estonia,Refugees (incl. refugee-like situations),
Australia,Ethiopia,Asylum-seekers,163
Australia,Ethiopia,Refugees (incl. refugee-like situations),229
Australia,Fiji,Asylum-seekers,657
Australia,Fiji,Refugees (incl. refugee-like situations),359
Australia,France,Asylum-seekers,*
Australia,France,Refugees (incl. refugee-like situations),*
Australia,United Kingdom,Asylum-seekers,9
Australia,United Kingdom,Refugees (incl. refugee-like situations),*
Australia,Georgia,Asylum-seekers,22
Australia,Georgia,Refugees (incl. refugee-like situations),10
Australia,Ghana,Asylum-seekers,55
Australia,Ghana,Refugees (incl. refugee-like situations),32
Australia,Guinea,Asylum-seekers,10
Australia,Guinea,Refugees (incl. refugee-like situations),7
Australia,Gambia,Asylum-seekers,8
Australia,Gambia,Refugees (incl. refugee-like situations),*
Australia,Greece,Asylum-seekers,*
Australia,Greece,Refugees (incl. refugee-like situations),*
Australia,Guatemala,Asylum-seekers,*
Australia,Guatemala,Refugees (incl. refugee-like situations),*
Australia,"China, Macao SAR",Asylum-seekers,23
Australia,"China, Macao SAR",Refugees (incl. refugee-like situations),
Australia,Croatia,Asylum-seekers,
Australia,Croatia,Refugees (incl. refugee-like situations),*
Australia,Hungary,Asylum-seekers,*
Australia,Hungary,Refugees (incl. refugee-like situations),
Australia,Indonesia,Asylum-seekers,274
Australia,Indonesia,Refugees (incl. refugee-like situations),241
Australia,India,Asylum-seekers,1351
Australia,India,Refugees (incl. refugee-like situations),314
Australia,Ireland,Asylum-seekers,66
Australia,Ireland,Refugees (incl. refugee-like situations),
Australia,Iran (Islamic Rep. of),Asylum-seekers,1428
Australia,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),4900
Australia,Iraq,Asylum-seekers,840
Australia,Iraq,Refugees (incl. refugee-like situations),3121
Australia,Israel,Asylum-seekers,14
Australia,Israel,Refugees (incl. refugee-like situations),31
Australia,Italy,Asylum-seekers,16
Australia,Italy,Refugees (incl. refugee-like situations),*
Australia,Jamaica,Asylum-seekers,*
Australia,Jamaica,Refugees (incl. refugee-like situations),
Australia,Jordan,Asylum-seekers,107
Australia,Jordan,Refugees (incl. refugee-like situations),106
Australia,Japan,Asylum-seekers,10
Australia,Japan,Refugees (incl. refugee-like situations),7
Australia,Kazakhstan,Asylum-seekers,*
Australia,Kazakhstan,Refugees (incl. refugee-like situations),*
Australia,Kenya,Asylum-seekers,67
Australia,Kenya,Refugees (incl. refugee-like situations),68
Australia,Kyrgyzstan,Asylum-seekers,7
Australia,Kyrgyzstan,Refugees (incl. refugee-like situations),8
Australia,Cambodia,Asylum-seekers,57
Australia,Cambodia,Refugees (incl. refugee-like situations),25
Australia,Kiribati,Asylum-seekers,*
Australia,Kiribati,Refugees (incl. refugee-like situations),
Australia,Rep. of Korea,Asylum-seekers,157
Australia,Rep. of Korea,Refugees (incl. refugee-like situations),44
Australia,Kuwait,Asylum-seekers,*
Australia,Kuwait,Refugees (incl. refugee-like situations),41
Australia,Lao People's Dem. Rep.,Asylum-seekers,5
Australia,Lao People's Dem. Rep.,Refugees (incl. refugee-like situations),*
Australia,Lebanon,Asylum-seekers,539
Australia,Lebanon,Refugees (incl. refugee-like situations),393
Australia,Liberia,Asylum-seekers,19
Australia,Liberia,Refugees (incl. refugee-like situations),24
Australia,Libya,Asylum-seekers,431
Australia,Libya,Refugees (incl. refugee-like situations),465
Australia,Sri Lanka,Asylum-seekers,3260
Australia,Sri Lanka,Refugees (incl. refugee-like situations),3387
Australia,Lithuania,Asylum-seekers,*
