Country / territory of asylum/residence,Origin,Population type,Value
Antigua and Barbuda,Syrian Arab Rep.,Asylum-seekers,*
Australia,Afghanistan,Asylum-seekers,1347
Australia,Angola,Asylum-seekers,
Australia,Albania,Asylum-seekers,46
Australia,United Arab Emirates,Asylum-seekers,*
Australia,Argentina,Asylum-seekers,
Australia,Armenia,Asylum-seekers,*
Australia,Austria,Asylum-seekers,*
Australia,Azerbaijan,Asylum-seekers,*
Australia,Burundi,Asylum-seekers,26
Australia,Belgium,Asylum-seekers,5
Australia,Benin,Asylum-seekers,
Australia,Bangladesh,Asylum-seekers,809
Australia,Bulgaria,Asylum-seekers,
Australia,Bahrain,Asylum-seekers,19
Australia,Bosnia and Herzegovina,Asylum-seekers,
Australia,Belarus,Asylum-seekers,*
Australia,Brazil,Asylum-seekers,21
Australia,Bhutan,Asylum-seekers,8
Australia,Botswana,Asylum-seekers,*
Australia,Central African Rep.,Asylum-seekers,*
Australia,Canada,Asylum-seekers,*
Australia,Chile,Asylum-seekers,*
Australia,China,Asylum-seekers,2485
Australia,Côte d'Ivoire,Asylum-seekers,*
Australia,Cameroon,Asylum-seekers,18
Australia,Dem. Rep. of the Congo,Asylum-seekers,34
Australia,Congo,Asylum-seekers,5
Australia,Colombia,Asylum-seekers,71
Australia,Costa Rica,Asylum-seekers,*
Australia,Cuba,Asylum-seekers,*
Australia,Cyprus,Asylum-seekers,*
Australia,Czech Rep.,Asylum-seekers,*
Australia,Germany,Asylum-seekers,*
Australia,Djibouti,Asylum-seekers,*
Australia,Denmark,Asylum-seekers,
Australia,Algeria,Asylum-seekers,7
Australia,Ecuador,Asylum-seekers,*
Australia,Egypt,Asylum-seekers,687
Australia,Eritrea,Asylum-seekers,28
Australia,Western Sahara,Asylum-seekers,*
Australia,Estonia,Asylum-seekers,*
Australia,Ethiopia,Asylum-seekers,163
Australia,Fiji,Asylum-seekers,657
Australia,France,Asylum-seekers,*
Australia,United Kingdom,Asylum-seekers,9
Australia,Georgia,Asylum-seekers,22
Australia,Ghana,Asylum-seekers,55
Australia,Guinea,Asylum-seekers,10
Australia,Gambia,Asylum-seekers,8
Australia,Greece,Asylum-seekers,*
Australia,Guatemala,Asylum-seekers,*
Australia,"China, Macao SAR",Asylum-seekers,23
Australia,Croatia,Asylum-seekers,
Australia,Hungary,Asylum-seekers,*
Australia,Indonesia,Asylum-seekers,274
Australia,India,Asylum-seekers,1351
Australia,Ireland,Asylum-seekers,66
Australia,Iran (Islamic Rep. of),Asylum-seekers,1428
Australia,Iraq,Asylum-seekers,840
Australia,Israel,Asylum-seekers,14
Australia,Italy,Asylum-seekers,16
Australia,Jamaica,Asylum-seekers,*
Australia,Jordan,Asylum-seekers,107
Australia,Japan,Asylum-seekers,10
Australia,Kazakhstan,Asylum-seekers,*
Australia,Kenya,Asylum-seekers,67
Australia,Kyrgyzstan,Asylum-seekers,7
Australia,Cambodia,Asylum-seekers,57
Australia,Kiribati,Asylum-seekers,*
Australia,Rep. of Korea,Asylum-seekers,157
Australia,Kuwait,Asylum-seekers,*
Australia,Lao People's Dem. Rep.,Asylum-seekers,5
Australia,Lebanon,Asylum-seekers,539
Australia,Liberia,Asylum-seekers,19
Australia,Libya,Asylum-seekers,431
Australia,Sri Lanka,Asylum-seekers,3260
Australia,Lithuania,Asylum-seekers,*
Australia,Latvia,Asylum-seekers,9
Australia,"Macao SAR, China",Asylum-seekers,*
Australia,Morocco,Asylum-seekers,*
Australia,Rep. of Moldova,Asylum-seekers,*
Australia,Maldives,Asylum-seekers,*
Australia,Mexico,Asylum-seekers,5
Australia,The former Yugoslav Republic of Macedonia,Asylum-seekers,5
Australia,Mali,Asylum-seekers,*
Australia,Malta,Asylum-seekers,*
Australia,Myanmar,Asylum-seekers,83
Australia,Mongolia,Asylum-seekers,59
Australia,Mozambique,Asylum-seekers,*
Australia,Mauritania,Asylum-seekers,*
Australia,Mauritius,Asylum-seekers,32
Australia,Malawi,Asylum-seekers,5
Australia,Malaysia,Asylum-seekers,741
Australia,Namibia,Asylum-seekers,*
Australia,Niger,Asylum-seekers,
Australia,Nigeria,Asylum-seekers,161
Australia,Nicaragua,Asylum-seekers,*
Australia,Netherlands,Asylum-seekers,*
Australia,Norway,Asylum-seekers,*
Australia,Nepal,Asylum-seekers,493
Australia,New Zealand,Asylum-seekers,15
Australia,Oman,Asylum-seekers,*
Australia,Pakistan,Asylum-seekers,1989
Australia,Peru,Asylum-seekers,32
Australia,Philippines,Asylum-seekers,95
Australia,Papua New Guinea,Asylum-seekers,213
Australia,Poland,Asylum-seekers,5
Australia,Dem. People's Rep. of Korea,Asylum-seekers,8
Australia,Portugal,Asylum-seekers,*
Australia,Palestinian,Asylum-seekers,87
Australia,Romania,Asylum-seekers,9
Australia,Russian Federation,Asylum-seekers,51
Australia,Rwanda,Asylum-seekers,50
Australia,Saudi Arabia,Asylum-seekers,49
Australia,Sudan,Asylum-seekers,44
Australia,Senegal,Asylum-seekers,*
Australia,Singapore,Asylum-seekers,7
Australia,Solomon Islands,Asylum-seekers,16
Australia,Sierra Leone,Asylum-seekers,16
Australia,El Salvador,Asylum-seekers,5
Australia,Somalia,Asylum-seekers,55
Australia,Serbia and Kosovo (S/RES/1244 (1999)),Asylum-seekers,6
Australia,South Sudan,Asylum-seekers,*
Australia,Sweden,Asylum-seekers,*
Australia,Seychelles,Asylum-seekers,*
Australia,Syrian Arab Rep.,Asylum-seekers,174
Australia,Chad,Asylum-seekers,*
Australia,Togo,Asylum-seekers,*
Australia,Thailand,Asylum-seekers,38
Australia,Tibetan,Asylum-seekers,*
Australia,Tajikistan,Asylum-seekers,*
Australia,Turkmenistan,Asylum-seekers,
Australia,Timor-Leste,Asylum-seekers,7
Australia,Tonga,Asylum-seekers,82
Australia,Tunisia,Asylum-seekers,7
Australia,Turkey,Asylum-seekers,226
Australia,Tuvalu,Asylum-seekers,*
Australia,United Rep. of Tanzania,Asylum-seekers,16
Australia,Uganda,Asylum-seekers,31
Australia,Ukraine,Asylum-seekers,59
Australia,Uruguay,Asylum-seekers,*
Australia,United States of America,Asylum-seekers,19
Australia,Uzbekistan,Asylum-seekers,*
Australia,Venezuela (Bolivarian Republic of),Asylum-seekers,11
Australia,Viet Nam,Asylum-seekers,338
Australia,Vanuatu,Asylum-seekers,
Australia,Samoa,Asylum-seekers,7
Australia,Stateless,Asylum-seekers,544
Australia,Various/Unknown,Asylum-seekers,94
Australia,Yemen,Asylum-seekers,18
Australia,South Africa,Asylum-seekers,33
Australia,Zambia,Asylum-seekers,21
Australia,Zimbabwe,Asylum-seekers,163
Austria,Afghanistan,Asylum-seekers,*
Austria,Angola,Asylum-seekers,*
Austria,Albania,Asylum-seekers,*
Austria,Armenia,Asylum-seekers,*
Austria,Austria,Asylum-seekers,
Austria,Azerbaijan,Asylum-seekers,*
Austria,Burundi,Asylum-seekers,*
Austria,Benin,Asylum-seekers,*
Austria,Burkina Faso,Asylum-seekers,*
Austria,Bangladesh,Asylum-seekers,*
Austria,Bulgaria,Asylum-seekers,*
Austria,Bosnia and Herzegovina,Asylum-seekers,*
Austria,Belarus,Asylum-seekers,*
Austria,Bolivia (Plurinational State of),Asylum-seekers,*
Austria,Brazil,Asylum-seekers,
Austria,Bhutan,Asylum-seekers,
Austria,Botswana,Asylum-seekers,*
Austria,Canada,Asylum-seekers,
Austria,Chile,Asylum-seekers,*
Austria,China,Asylum-seekers,*
Austria,Côte d'Ivoire,Asylum-seekers,*
Austria,Cameroon,Asylum-seekers,*
Austria,Dem. Rep. of the Congo,Asylum-seekers,*
Austria,Congo,Asylum-seekers,*
Austria,Colombia,Asylum-seekers,
Austria,Comoros,Asylum-seekers,*
Austria,Cuba,Asylum-seekers,*
Austria,Czech Rep.,Asylum-seekers,*
Austria,Germany,Asylum-seekers,*
Austria,Dominican Rep.,Asylum-seekers,*
Austria,Algeria,Asylum-seekers,*
Austria,Egypt,Asylum-seekers,*
Austria,Eritrea,Asylum-seekers,*
Austria,Western Sahara,Asylum-seekers,*
Austria,Estonia,Asylum-seekers,
Austria,Ethiopia,Asylum-seekers,*
Austria,Gabon,Asylum-seekers,*
Austria,United Kingdom,Asylum-seekers,*
Austria,Georgia,Asylum-seekers,*
Austria,Ghana,Asylum-seekers,*
Austria,Guinea,Asylum-seekers,*
Austria,Gambia,Asylum-seekers,*
Austria,Guinea-Bissau,Asylum-seekers,*
Austria,Equatorial Guinea,Asylum-seekers,*
Austria,Guatemala,Asylum-seekers,*
Austria,Croatia,Asylum-seekers,
Austria,Haiti,Asylum-seekers,*
Austria,Hungary,Asylum-seekers,*
Austria,India,Asylum-seekers,*
Austria,Iran (Islamic Rep. of),Asylum-seekers,*
Austria,Iraq,Asylum-seekers,*
Austria,Israel,Asylum-seekers,*
Austria,Jamaica,Asylum-seekers,*
Austria,Jordan,Asylum-seekers,*
Austria,Kazakhstan,Asylum-seekers,*
Austria,Kenya,Asylum-seekers,*
Austria,Kyrgyzstan,Asylum-seekers,*
Austria,Cambodia,Asylum-seekers,
Austria,Rep. of Korea,Asylum-seekers,*
Austria,Kuwait,Asylum-seekers,*
Austria,Lao People's Dem. Rep.,Asylum-seekers,
Austria,Lebanon,Asylum-seekers,*
Austria,Liberia,Asylum-seekers,*
Austria,Libya,Asylum-seekers,*
Austria,Sri Lanka,Asylum-seekers,*
Austria,Latvia,Asylum-seekers,
Austria,Morocco,Asylum-seekers,*
Austria,Rep. of Moldova,Asylum-seekers,*
Austria,Madagascar,Asylum-seekers,
Austria,Mexico,Asylum-seekers,
Austria,The former Yugoslav Republic of Macedonia,Asylum-seekers,*
Austria,Mali,Asylum-seekers,*
Austria,Myanmar,Asylum-seekers,*
Austria,Montenegro,Asylum-seekers,*
Austria,Mongolia,Asylum-seekers,*
Austria,Mauritania,Asylum-seekers,*
Austria,Mauritius,Asylum-seekers,*
Austria,Niger,Asylum-seekers,*
Austria,Nigeria,Asylum-seekers,*
Austria,Netherlands,Asylum-seekers,*
Austria,Nepal,Asylum-seekers,*
Austria,Pakistan,Asylum-seekers,*
Austria,Peru,Asylum-seekers,
Austria,Philippines,Asylum-seekers,
Austria,Poland,Asylum-seekers,*
Austria,Romania,Asylum-seekers,*
Austria,Russian Federation,Asylum-seekers,*
Austria,Rwanda,Asylum-seekers,*
Austria,Sudan,Asylum-seekers,*
Austria,Senegal,Asylum-seekers,*
Austria,Sierra Leone,Asylum-seekers,*
Austria,Somalia,Asylum-seekers,*
Austria,Serbia and Kosovo (S/RES/1244 (1999)),Asylum-seekers,*
Austria,South Sudan,Asylum-seekers,*
Austria,Slovakia,Asylum-seekers,
Austria,Syrian Arab Rep.,Asylum-seekers,*
Austria,Chad,Asylum-seekers,*
Austria,Togo,Asylum-seekers,*
Austria,Thailand,Asylum-seekers,*
Austria,Tajikistan,Asylum-seekers,*
Austria,Turkmenistan,Asylum-seekers,
Austria,Tunisia,Asylum-seekers,*
Austria,Turkey,Asylum-seekers,*
Austria,United Rep. of Tanzania,Asylum-seekers,
Austria,Uganda,Asylum-seekers,*
Austria,Ukraine,Asylum-seekers,*
Austria,United States of America,Asylum-seekers,*
Austria,Uzbekistan,Asylum-seekers,*
Austria,Viet Nam,Asylum-seekers,*
Austria,Stateless,Asylum-seekers,*
Austria,Various/Unknown,Asylum-seekers,22745
Austria,Yemen,Asylum-seekers,*
Austria,South Africa,Asylum-seekers,*
Austria,Zambia,Asylum-seekers,*
Austria,Zimbabwe,Asylum-seekers,*
Azerbaijan,Afghanistan,Asylum-seekers,160
Azerbaijan,Armenia,Asylum-seekers,*
Azerbaijan,Azerbaijan,Asylum-seekers,
Azerbaijan,Bangladesh,Asylum-seekers,*
Azerbaijan,Côte d'Ivoire,Asylum-seekers,*
Azerbaijan,Cameroon,Asylum-seekers,
Azerbaijan,Georgia,Asylum-seekers,*
Azerbaijan,India,Asylum-seekers,*
Azerbaijan,Iran (Islamic Rep. of),Asylum-seekers,16
Azerbaijan,Iraq,Asylum-seekers,11
Azerbaijan,Rep. of Moldova,Asylum-seekers,*
Azerbaijan,Nepal,Asylum-seekers,6
Azerbaijan,Pakistan,Asylum-seekers,141
Azerbaijan,Palestinian,Asylum-seekers,
Azerbaijan,Russian Federation,Asylum-seekers,31
Azerbaijan,Sudan,Asylum-seekers,*
Azerbaijan,South Sudan,Asylum-seekers,*
Azerbaijan,Syrian Arab Rep.,Asylum-seekers,7
Azerbaijan,Turkey,Asylum-seekers,*
Azerbaijan,Ukraine,Asylum-seekers,12
Azerbaijan,Uzbekistan,Asylum-seekers,*
Azerbaijan,Yemen,Asylum-seekers,*
Burundi,Angola,Asylum-seekers,9
Burundi,Burundi,Asylum-seekers,
Burundi,Central African Rep.,Asylum-seekers,5
Burundi,Dem. Rep. of the Congo,Asylum-seekers,2613
Burundi,Comoros,Asylum-seekers,*
Burundi,Ethiopia,Asylum-seekers,*
Burundi,Guinea,Asylum-seekers,*
Burundi,India,Asylum-seekers,*
Burundi,Mali,Asylum-seekers,9
Burundi,Mozambique,Asylum-seekers,
Burundi,Pakistan,Asylum-seekers,*
Burundi,Rwanda,Asylum-seekers,399
Burundi,Senegal,Asylum-seekers,*
Burundi,Somalia,Asylum-seekers,6
Burundi,South Sudan,Asylum-seekers,*
Burundi,United Rep. of Tanzania,Asylum-seekers,*
Burundi,Zambia,Asylum-seekers,
Belgium,Afghanistan,Asylum-seekers,765
Belgium,Angola,Asylum-seekers,44
Belgium,Albania,Asylum-seekers,305
Belgium,United Arab Emirates,Asylum-seekers,*
Belgium,Argentina,Asylum-seekers,
Belgium,Armenia,Asylum-seekers,151
Belgium,Austria,Asylum-seekers,
Belgium,Azerbaijan,Asylum-seekers,47
Belgium,Burundi,Asylum-seekers,116
Belgium,Belgium,Asylum-seekers,
Belgium,Benin,Asylum-seekers,51
Belgium,Burkina Faso,Asylum-seekers,45
Belgium,Bangladesh,Asylum-seekers,50
Belgium,Bulgaria,Asylum-seekers,6
Belgium,Bosnia and Herzegovina,Asylum-seekers,9
Belgium,Belarus,Asylum-seekers,20
Belgium,Bolivia (Plurinational State of),Asylum-seekers,
Belgium,Brazil,Asylum-seekers,*
Belgium,Bhutan,Asylum-seekers,*
Belgium,Central African Rep.,Asylum-seekers,16
Belgium,Canada,Asylum-seekers,*
Belgium,Switzerland,Asylum-seekers,
Belgium,Chile,Asylum-seekers,*
Belgium,China,Asylum-seekers,227
Belgium,Côte d'Ivoire,Asylum-seekers,89
Belgium,Cameroon,Asylum-seekers,180
Belgium,Dem. Rep. of the Congo,Asylum-seekers,378
Belgium,Congo,Asylum-seekers,9
Belgium,Colombia,Asylum-seekers,6
Belgium,Comoros,Asylum-seekers,*
Belgium,Costa Rica,Asylum-seekers,*
Belgium,Cuba,Asylum-seekers,*
Belgium,Cyprus,Asylum-seekers,*
Belgium,Czech Rep.,Asylum-seekers,*
Belgium,Germany,Asylum-seekers,
Belgium,Djibouti,Asylum-seekers,125
Belgium,Denmark,Asylum-seekers,
Belgium,Dominican Rep.,Asylum-seekers,*
Belgium,Algeria,Asylum-seekers,66
Belgium,Ecuador,Asylum-seekers,*
Belgium,Egypt,Asylum-seekers,108
Belgium,Eritrea,Asylum-seekers,273
Belgium,Spain,Asylum-seekers,
Belgium,Ethiopia,Asylum-seekers,72
Belgium,France,Asylum-seekers,*
Belgium,Gabon,Asylum-seekers,*
Belgium,United Kingdom,Asylum-seekers,*
Belgium,Georgia,Asylum-seekers,141
Belgium,Ghana,Asylum-seekers,13
Belgium,Guinea,Asylum-seekers,737
Belgium,Gambia,Asylum-seekers,23
Belgium,Guinea-Bissau,Asylum-seekers,6
Belgium,Equatorial Guinea,Asylum-seekers,*
Belgium,Greece,Asylum-seekers,
Belgium,Guatemala,Asylum-seekers,*
Belgium,Guyana,Asylum-seekers,*
Belgium,Honduras,Asylum-seekers,*
Belgium,Croatia,Asylum-seekers,*
Belgium,Haiti,Asylum-seekers,8
Belgium,Hungary,Asylum-seekers,*
Belgium,India,Asylum-seekers,12
Belgium,Iran (Islamic Rep. of),Asylum-seekers,266
Belgium,Iraq,Asylum-seekers,490
Belgium,Israel,Asylum-seekers,5
Belgium,Italy,Asylum-seekers,*
Belgium,Jamaica,Asylum-seekers,*
Belgium,Jordan,Asylum-seekers,19
Belgium,Kazakhstan,Asylum-seekers,16
Belgium,Kenya,Asylum-seekers,19
Belgium,Kyrgyzstan,Asylum-seekers,13
Belgium,Cambodia,Asylum-seekers,
Belgium,Kuwait,Asylum-seekers,
Belgium,Lao People's Dem. Rep.,Asylum-seekers,*
Belgium,Lebanon,Asylum-seekers,107
Belgium,Liberia,Asylum-seekers,13
Belgium,Libya,Asylum-seekers,34
Belgium,Sri Lanka,Asylum-seekers,76
Belgium,Lesotho,Asylum-seekers,*
Belgium,Lithuania,Asylum-seekers,*
Belgium,Latvia,Asylum-seekers,*
Belgium,Morocco,Asylum-seekers,60
Belgium,Rep. of Moldova,Asylum-seekers,*
Belgium,Madagascar,Asylum-seekers,*
Belgium,Mexico,Asylum-seekers,*
Belgium,The former Yugoslav Republic of Macedonia,Asylum-seekers,89
Belgium,Mali,Asylum-seekers,64
Belgium,Myanmar,Asylum-seekers,18
Belgium,Montenegro,Asylum-seekers,*
Belgium,Mongolia,Asylum-seekers,8
Belgium,Mauritania,Asylum-seekers,84
Belgium,Mauritius,Asylum-seekers,*
Belgium,Malawi,Asylum-seekers,*
Belgium,Malaysia,Asylum-seekers,
Belgium,Namibia,Asylum-seekers,*
Belgium,Niger,Asylum-seekers,68
Belgium,Nigeria,Asylum-seekers,46
Belgium,Netherlands,Asylum-seekers,*
Belgium,Nepal,Asylum-seekers,15
Belgium,Pakistan,Asylum-seekers,154
Belgium,Peru,Asylum-seekers,
Belgium,Philippines,Asylum-seekers,*
Belgium,Poland,Asylum-seekers,*
Belgium,Dem. People's Rep. of Korea,Asylum-seekers,*
Belgium,Portugal,Asylum-seekers,*
Belgium,Palestinian,Asylum-seekers,25
Belgium,Romania,Asylum-seekers,*
Belgium,Russian Federation,Asylum-seekers,649
Belgium,Rwanda,Asylum-seekers,333
Belgium,Saudi Arabia,Asylum-seekers,*
Belgium,Sudan,Asylum-seekers,121
Belgium,Senegal,Asylum-seekers,252
Belgium,Sierra Leone,Asylum-seekers,23
Belgium,El Salvador,Asylum-seekers,48
Belgium,Somalia,Asylum-seekers,282
Belgium,Serbia and Kosovo (S/RES/1244 (1999)),Asylum-seekers,258
Belgium,South Sudan,Asylum-seekers,*
Belgium,Sao Tome and Principe,Asylum-seekers,*
Belgium,Suriname,Asylum-seekers,*
Belgium,Slovakia,Asylum-seekers,*
Belgium,Syrian Arab Rep.,Asylum-seekers,733
Belgium,Chad,Asylum-seekers,6
Belgium,Togo,Asylum-seekers,107
Belgium,Thailand,Asylum-seekers,*
Belgium,Tajikistan,Asylum-seekers,8
Belgium,Turkmenistan,Asylum-seekers,*
Belgium,Tunisia,Asylum-seekers,22
Belgium,Turkey,Asylum-seekers,228
Belgium,United Rep. of Tanzania,Asylum-seekers,22
